id,elapsed,event_incident_typefk,match_id,player1,subtype,team
378960,19,329,1729,38807,cross,10261
378992,22,330,1729,40565,short,10261
378996,22,329,1729,38807,cross,10261
379352,48,329,1729,24154,cross,10260
379366,51,329,1729,38807,cross,10261
379403,58,329,1729,24148,cross,10260
379411,59,330,1729,24148,short,10260
379420,62,329,1729,40565,cross,10261
379429,66,329,1729,38807,cross,10261
379435,67,329,1729,24148,cross,10260
379452,73,329,1729,24148,cross,10260
379460,75,329,1729,30829,cross,10260
375535,3,330,1730,39297,short,9825
375538,3,329,1730,39297,cross,9825
375562,9,330,1730,30960,short,9825
375586,19,329,1730,39297,cross,9825
375602,25,329,1730,39297,cross,9825
375609,28,329,1730,23257,cross,8659
375621,31,329,1730,23257,cross,8659
375626,31,329,1730,26181,cross,9825
375657,45,329,1730,31088,cross,8659
375682,51,329,1730,23257,cross,8659
375818,79,329,1730,30843,cross,9825
375853,85,329,1730,24664,cross,8659
377879,26,329,1731,30618,cross,8650
377892,30,329,1731,38802,cross,8472
377906,35,329,1731,30618,cross,8650
377910,36,329,1731,30618,cross,8650
377914,36,329,1731,30618,cross,8650
377931,42,329,1731,30618,cross,8650
377972,56,329,1731,30889,cross,8650
378001,66,329,1731,30618,cross,8650
378019,75,329,1731,30618,cross,8650
376147,9,329,1732,36394,cross,8654
376227,14,329,1732,36394,cross,8654
376235,15,329,1732,36394,cross,8654
376259,16,329,1732,35327,cross,8528
376320,20,329,1732,35327,cross,8528
376355,22,329,1732,35327,cross,8528
376655,40,330,1732,35327,short,8528
376811,45,329,1732,36394,cross,8654
376957,50,329,1732,35327,cross,8528
377005,52,329,1732,36394,cross,8654
377224,64,329,1732,35327,cross,8528
377414,76,329,1732,35327,cross,8528
377565,87,329,1732,24773,cross,8654
377577,89,329,1732,37684,cross,8528
377582,89,329,1732,37684,cross,8528
377593,90,329,1732,37684,cross,8528
378471,2,329,1733,23354,cross,10252
378479,3,329,1733,33633,cross,8456
378505,6,329,1733,23354,cross,10252
378539,10,329,1733,23782,cross,10252
378557,11,329,1733,40198,cross,8456
378782,45,329,1733,33633,cross,8456
378790,45,329,1733,33633,cross,8456
378854,50,329,1733,33633,cross,8456
378869,51,329,1733,33633,cross,8456
378946,60,329,1733,23354,cross,10252
378964,62,329,1733,23354,cross,10252
379023,68,329,1733,23354,cross,10252
379212,87,329,1733,23354,cross,10252
379239,89,329,1733,33633,cross,8456
379278,90,329,1733,33633,cross,8456
376069,5,329,1734,23916,cross,8655
376294,19,329,1734,24011,cross,8668
376404,25,329,1734,30342,cross,8655
376780,45,329,1734,24011,cross,8668
377118,58,329,1734,23916,cross,8655
377191,62,329,1734,24011,cross,8668
377615,90,329,1734,24136,cross,8655
376027,2,329,1735,24393,cross,8549
376091,6,329,1735,23760,cross,8586
376143,9,329,1735,23760,cross,8586
376286,18,329,1735,23760,cross,8586
376305,19,329,1735,24393,cross,8549
376501,30,329,1735,23760,cross,8586
376534,32,329,1735,24393,cross,8549
376659,40,329,1735,23760,cross,8586
376736,44,329,1735,30892,cross,8549
377150,60,330,1735,41157,short,8586
377183,62,329,1735,30892,cross,8549
377299,69,329,1735,23760,cross,8586
377305,69,329,1735,23760,cross,8586
377332,71,329,1735,30892,cross,8549
377392,75,329,1735,30892,cross,8549
377606,90,329,1735,23760,cross,8586
376192,11,329,1736,23253,cross,10194
376770,45,329,1736,23253,cross,10194
376785,45,329,1736,23253,cross,10194
376988,50,329,1736,24336,cross,8559
377308,68,329,1736,24372,cross,8559
377319,69,329,1736,24372,cross,8559
377475,80,329,1736,24372,cross,8559
376063,4,329,1737,23022,cross,8667
376117,7,329,1737,24843,cross,9879
376289,18,329,1737,24843,cross,9879
376311,19,329,1737,24843,cross,9879
376678,40,329,1737,24843,cross,9879
377006,52,329,1737,23022,cross,8667
377210,63,329,1737,39073,cross,8667
377271,67,329,1737,24843,cross,9879
377287,68,329,1737,24843,cross,9879
377374,73,329,1737,3512,cross,8667
377597,90,330,1737,39073,short,8667
378156,5,329,1738,30686,cross,8455
378171,7,329,1738,30631,cross,8455
378274,35,330,1738,30686,short,8455
378416,57,330,1738,30679,short,8455
378431,61,329,1738,30631,cross,8455
378437,61,329,1738,30679,cross,8455
378442,63,329,1738,38820,cross,8462
378455,65,329,1738,38820,cross,8462
